time_period_start;time_period_end;time_open;time_close;price_close
2021-03-15T00:00:00.0000000Z;2021-03-22T00:00:00.0000000Z;2021-03-15T00:00:00.1530000Z;2021-03-21T23:59:55.4650000Z;29.236000000
2021-03-22T00:00:00.0000000Z;2021-03-29T00:00:00.0000000Z;2021-03-22T00:00:00.6370000Z;2021-03-28T23:59:54.2640000Z;26.655000000
2021-03-29T00:00:00.0000000Z;2021-04-05T00:00:00.0000000Z;2021-03-29T00:00:01.1910000Z;2021-04-04T23:59:37.6870000Z;30.749000000
2021-04-05T00:00:00.0000000Z;2021-04-12T00:00:00.0000000Z;2021-04-05T00:00:00.3410000Z;2021-04-11T23:59:57.6450000Z;33.885000000
2021-04-12T00:00:00.0000000Z;2021-04-19T00:00:00.0000000Z;2021-04-12T00:00:00.6530000Z;2021-04-18T23:59:59.6180000Z;39.076000000
2021-04-19T00:00:00.0000000Z;2021-04-26T00:00:00.0000000Z;2021-04-19T00:00:01.0460000Z;2021-04-25T23:59:58.9850000Z;31.683000000
2021-04-26T00:00:00.0000000Z;2021-05-03T00:00:00.0000000Z;2021-04-26T00:00:00.4740000Z;2021-05-02T23:59:58.8290000Z;39.481000000
2021-05-03T00:00:00.0000000Z;2021-05-10T00:00:00.0000000Z;2021-05-03T00:00:00.2000000Z;2021-05-09T23:59:59.1220000Z;52.266000000
2021-05-10T00:00:00.0000000Z;2021-05-17T00:00:00.0000000Z;2021-05-10T00:00:00.3280000Z;2021-05-16T23:59:58.6400000Z;40.663000000
2021-05-17T00:00:00.0000000Z;2021-05-24T00:00:00.0000000Z;2021-05-17T00:00:00.4110000Z;2021-05-23T23:59:59.9170000Z;19.829000000
2021-05-24T00:00:00.0000000Z;2021-05-31T00:00:00.0000000Z;2021-05-24T00:00:00.0480000Z;2021-05-30T23:59:57.9440000Z;26.825000000
2021-05-31T00:00:00.0000000Z;2021-06-07T00:00:00.0000000Z;2021-05-31T00:00:00.5240000Z;2021-06-06T23:59:59.9780000Z;27.528000000
2021-06-07T00:00:00.0000000Z;2021-06-14T00:00:00.0000000Z;2021-06-07T00:00:00.0700000Z;2021-06-13T23:59:56.3920000Z;23.312000000
2021-06-14T00:00:00.0000000Z;2021-06-21T00:00:00.0000000Z;2021-06-14T00:00:00.6670000Z;2021-06-20T23:59:59.4290000Z;21.636000000
2021-06-21T00:00:00.0000000Z;2021-06-28T00:00:00.0000000Z;2021-06-21T00:00:00.4970000Z;2021-06-27T23:59:59.5390000Z;18.402000000
2021-06-28T00:00:00.0000000Z;2021-07-05T00:00:00.0000000Z;2021-06-28T00:00:00.0530000Z;2021-07-04T23:59:53.1290000Z;19.257000000
2021-07-05T00:00:00.0000000Z;2021-07-12T00:00:00.0000000Z;2021-07-05T00:00:04.9590000Z;2021-07-11T23:59:59.8570000Z;18.378000000
2021-07-12T00:00:00.0000000Z;2021-07-19T00:00:00.0000000Z;2021-07-12T00:00:00.6730000Z;2021-07-18T23:59:39.4900000Z;15.485000000
2021-07-19T00:00:00.0000000Z;2021-07-26T00:00:00.0000000Z;2021-07-19T00:00:08.2070000Z;2021-07-25T23:59:58.4190000Z;16.747000000
2021-07-26T00:00:00.0000000Z;2021-08-02T00:00:00.0000000Z;2021-07-26T00:00:01.6930000Z;2021-08-01T23:59:54.8880000Z;22.059000000
2021-08-02T00:00:00.0000000Z;2021-08-09T00:00:00.0000000Z;2021-08-02T00:00:00.5260000Z;2021-08-08T17:14:54.8290000Z;23.085000000
2021-08-09T00:00:00.0000000Z;2021-08-16T00:00:00.0000000Z;2021-08-09T09:04:29.4050000Z;2021-08-15T23:59:59.1000000Z;27.896000000
2021-08-16T00:00:00.0000000Z;2021-08-23T00:00:00.0000000Z;2021-08-16T00:00:01.6380000Z;2021-08-22T23:59:48.8740000Z;27.986000000
2021-08-23T00:00:00.0000000Z;2021-08-30T00:00:00.0000000Z;2021-08-23T00:00:02.4840000Z;2021-08-29T23:59:57.8880000Z;25.760000000
2021-08-30T00:00:00.0000000Z;2021-09-06T00:00:00.0000000Z;2021-08-30T00:00:02.2350000Z;2021-09-05T23:59:59.9900000Z;33.540000000
2021-09-06T00:00:00.0000000Z;2021-09-13T00:00:00.0000000Z;2021-09-06T00:00:00.2510000Z;2021-09-12T23:59:57.3610000Z;29.431000000
2021-09-13T00:00:00.0000000Z;2021-09-20T00:00:00.0000000Z;2021-09-13T00:00:02.7790000Z;2021-09-19T23:59:59.3690000Z;27.342000000
2021-09-20T00:00:00.0000000Z;2021-09-27T00:00:00.0000000Z;2021-09-20T00:00:00.4960000Z;2021-09-26T23:59:59.1700000Z;24.600000000
2021-09-27T00:00:00.0000000Z;2021-10-04T00:00:00.0000000Z;2021-09-27T00:00:00.8010000Z;2021-10-03T23:59:54.9490000Z;27.574200000
2021-10-04T00:00:00.0000000Z;2021-10-11T00:00:00.0000000Z;2021-10-04T00:00:01.8940000Z;2021-10-10T23:59:42.5270000Z;25.560000000
2021-10-11T00:00:00.0000000Z;2021-10-18T00:00:00.0000000Z;2021-10-11T00:00:02.3530000Z;2021-10-17T23:59:43.5220000Z;26.530000000
2021-10-18T00:00:00.0000000Z;2021-10-25T00:00:00.0000000Z;2021-10-18T00:00:02.7950000Z;2021-10-22T06:22:25.2100000Z;28.999100000
2021-10-25T00:00:00.0000000Z;2021-11-01T00:00:00.0000000Z;2021-10-25T11:40:03.5950000Z;2021-10-31T23:59:56.0410000Z;30.005900000
2021-11-01T00:00:00.0000000Z;2021-11-08T00:00:00.0000000Z;2021-11-01T00:00:02.1770000Z;2021-11-07T23:59:58.8600000Z;32.340000000
2021-11-08T00:00:00.0000000Z;2021-11-15T00:00:00.0000000Z;2021-11-08T00:00:02.0750000Z;2021-11-14T23:59:43.3070000Z;33.750000000
2021-11-15T00:00:00.0000000Z;2021-11-22T00:00:00.0000000Z;2021-11-15T00:00:00.8090000Z;2021-11-21T23:59:57.6700000Z;28.978000000
2021-11-22T00:00:00.0000000Z;2021-11-29T00:00:00.0000000Z;2021-11-22T00:00:00.4540000Z;2021-11-28T23:59:59.9670000Z;24.755000000
2021-11-29T00:00:00.0000000Z;2021-12-06T00:00:00.0000000Z;2021-11-29T00:00:00.0010000Z;2021-12-05T23:59:42.9150000Z;19.482000000
2021-12-06T00:00:00.0000000Z;2021-12-13T00:00:00.0000000Z;2021-12-06T00:00:00.3940000Z;2021-12-06T13:26:11.2570000Z;17.930000000
